run_id,fit_status,risk_level,best_candidate,selection_score,epochs,steps_per_epoch,max_steps,final_train_loss,final_val_loss,final_generalization_gap,generalization_gap_delta,train_val_improvement_gap,overfit_score,parameter_count,tokens_per_sec,device,changed_variables,hypothesis,artifact_dir
25,generalizing,low,False,5.724879,2.0,20.0,40.0,5.728742,5.724879,-0.003862,-0.000974,-0.000974,0.0,478976.0,22633.882408,mps,"{""activation_name"": ""gelu_exact""}","context_length=48 + sdpa 기준의 activation 단일축 재비교: quick_gelu가 현재 best 계열이지만, sdpa와 짧은 문맥으로 학습 조건이 안정화된 상태에서도 gelu_exact가 validation loss와 overfit_score에서 계속 뒤처지는지 확인한다.",docs/train/runs/run_025_artifacts
26,generalizing,low,False,5.726201,2.0,20.0,40.0,5.729203,5.726201,-0.003002,-0.000196,-0.000196,0.0,478976.0,21713.692629,mps,"{""activation_name"": ""silu""}","context_length=48 + sdpa 기준의 activation 계열 확장 테스트: quick_gelu와 gelu_exact가 거의 같은 low-overfit 결과를 냈지만 quick_gelu가 아직 best에 가깝다. 같은 구조와 parameter_count를 유지한 채 activation_name만 silu로 바꾸면, 더 부드러운 비단조 계열이 작은 데이터에서 train/val 균형을 개선하거나 최소한 과적합 없이 경쟁 가능한지 확인할 수 있다.",docs/train/runs/run_026_artifacts
27,generalizing,low,False,5.751827,2.0,20.0,40.0,5.764282,5.748609,-0.015674,0.006436,0.006436,0.012871,611072.0,17647.330025,mps,"{""activation_name"": ""swiglu""}","context_length=48 + sdpa 기준의 gated FFN 단일축 테스트: quick_gelu, gelu_exact, silu는 모두 low-overfit였지만 best를 갱신하지 못했고, silu는 validation이 약간 밀렸다. activation_name만 swiglu로 바꾸면 gated FFN의 value-gate 상호작용이 작은 문맥 조건에서 표현력을 높여 validation loss를 낮출 수 있는지, 그리고 추가 parameter_count가 과적합으로 이어지는지 확인할 수 있다.",docs/train/runs/run_027_artifacts
28,overfit_risk,high,False,6.362589,1.666667,24.0,40.0,5.746423,5.794515,0.048093,0.064009,0.064009,0.176111,477952.0,11758.428879,mps,"{""activation_name"": ""quick_gelu"", ""attention_impl"": ""sdpa"", ""context_length"": 40}","best 계열로 복귀한 context_length 로컬 서치: run 021/024의 핵심 개선은 activation보다 context_length=48에서 발생했고, 이후 gelu_exact/silu/swiglu는 best를 갱신하지 못했다. quick_gelu + sdpa + tie_embeddings=True + ffn_dropout_position=none을 유지하고 context_length만 48에서 40으로 더 줄이면, 작은 데이터에서 위치 임베딩 부담과 문맥 암기 범위를 더 낮춰 validation loss와 overfit_score가 추가 개선될 수 있는지 확인한다.",docs/train/runs/run_028_artifacts
29,overfit_risk,high,False,6.301564,2.352941,17.0,40.0,5.684214,5.736375,0.052162,0.052134,0.052134,0.15643,480000.0,13566.391242,mps,"{""context_length"": 56}","context_length 경계 확인 실험: context_length=40은 overfit_risk와 validation 악화를 만들었고, context_length=48은 현재 best이다. quick_gelu + sdpa + tie_embeddings=True + ffn_dropout_position=none을 유지한 채 context_length만 56으로 늘리면, 48보다 조금 더 긴 문맥이 정보량을 보강하면서도 64-token 계열의 과적합 위험으로 돌아가지 않는지 확인할 수 있다.",docs/train/runs/run_029_artifacts
30,generalizing,low,False,5.616902,3.0,20.0,60.0,5.567538,5.588833,0.021295,0.024196,0.024196,0.069688,478976.0,25824.554504,mps,"{""effective_max_steps"": ""60"", ""epochs"": ""3.0""}","context_length=48 기준의 학습 길이 단일축 테스트: context_length 40과 56은 모두 overfit_risk였고, activation/gated FFN 교체도 best를 넘지 못했다. 따라서 quick_gelu + sdpa + context_length=48을 고정하고 max_steps만 40에서 60으로 늘리면, 현재 낮은 overfit_score를 유지하면서 train/val loss를 더 낮출 수 있는지 확인한다.",docs/train/runs/run_030_artifacts
31,generalizing,medium,False,5.639795,3.0,20.0,60.0,5.559991,5.59587,0.035879,0.034031,0.034031,0.103942,478976.0,26029.722436,mps,"{""seed"": 151}","max_steps=60 seed 재현성 검증: run 030은 context_length=48 + quick_gelu + sdpa 기준에서 max_steps를 60으로 늘리자 validation loss가 크게 개선되고 generalizing을 유지했다. 같은 설정을 seed=151로 반복하면, 이 개선이 seed=134의 우연인지 아니면 학습 길이 증가가 안정적으로 유효한지 확인할 수 있다.",docs/train/runs/run_031_artifacts
32,generalizing,low,False,5.611418,3.0,20.0,60.0,5.597494,5.60155,0.004056,0.013653,0.013653,0.031362,478976.0,27717.053004,mps,"{""seed"": 202}","max_steps=60 어려운 seed 강건성 검증: seed=134와 seed=151에서 context_length=48 + quick_gelu + sdpa + max_steps=60은 validation loss를 크게 낮추며 generalizing을 유지했다. 같은 설정을 seed=202로 반복하면, 이전에 더 불안정했던 seed에서도 학습 길이 증가가 validation 성능을 개선하면서 과적합을 감당할 수 있는지 확인한다.",docs/train/runs/run_032_artifacts
33,generalizing,low,False,5.571115,4.0,20.0,80.0,5.542914,5.553315,0.010401,0.019998,0.019998,0.050397,478976.0,28982.625586,mps,"{""effective_max_steps"": ""80"", ""epochs"": ""4.0""}","max_steps=80 학습 한계 테스트: context_length=48 + quick_gelu + sdpa 기준에서 max_steps=60은 seed=134/151/202 모두 validation을 크게 개선하며 generalizing을 유지했다. seed=202에서 max_steps만 80으로 늘리면, 더 긴 학습이 validation loss를 추가로 낮출 수 있는지 또는 과적합 신호가 급격히 커지는지 확인할 수 있다.",docs/train/runs/run_033_artifacts
34,overfit_risk,high,False,6.115535,4.0,20.0,80.0,5.507128,5.554664,0.047536,0.050437,0.050437,0.14841,478976.0,30653.952265,mps,"{""seed"": 134}","max_steps=80 seed=134 재현성 검증: run 033에서 seed=202는 max_steps=80으로 validation loss를 5.553315까지 낮추면서 gap=0.010401, overfit_score=0.050397의 generalizing 상태를 유지했다. 같은 context_length=48 + quick_gelu + sdpa 기준에서 seed만 134로 바꾸면, 80-step 이득이 특정 seed의 우연인지 아니면 현재 best 계열의 안정적인 학습 길이 효과인지 확인할 수 있다.",docs/train/runs/run_034_artifacts
35,overfit_risk,high,False,6.115539,4.0,20.0,80.0,5.507204,5.554708,0.047504,0.050406,0.050406,0.148315,478976.0,29799.474384,mps,"{""weight_decay"": 0.02}","max_steps=80 seed=134 과적합 완화 단일축 테스트: run 034는 seed=134에서 validation loss를 5.554664까지 낮췄지만 final_generalization_gap=0.047536, overfit_score=0.148410으로 overfit_risk가 되었다. 같은 80-step 설정에서 weight_decay만 0.01에서 0.02로 올리면, train loss 과도 개선을 억제해 validation 성능을 유지하면서 gap과 overfit_score를 낮출 수 있는지 확인한다.",docs/train/runs/run_035_artifacts
36,generalizing,medium,False,5.617614,4.0,20.0,80.0,5.542138,5.575038,0.0329,0.035802,0.035802,0.104504,478976.0,28571.483429,mps,"{""learning_rate"": 0.00025}","max_steps=80 seed=134 learning_rate 완화 단일축 테스트: run 034와 run 035는 validation loss가 5.55대까지 내려갔지만 train loss가 빠르게 낮아지며 gap≈0.0475, overfit_score≈0.148의 overfit_risk를 반복했다. weight_decay=0.02는 거의 효과가 없었으므로, 이번에는 weight_decay를 0.01로 되돌리고 learning_rate만 0.0003에서 0.00025로 낮춰 긴 학습의 train 편향을 완화할 수 있는지 확인한다.",docs/train/runs/run_036_artifacts
37,generalizing,medium,False,5.613557,4.0,20.0,80.0,5.52424,5.563291,0.039052,0.041953,0.041953,0.122958,478976.0,33540.659839,mps,"{""learning_rate"": 0.000275}","max_steps=80 seed=134 learning_rate 중간값 균형 테스트: run 034는 learning_rate=0.0003에서 final_val_loss=5.554664로 강했지만 overfit_risk였고, run 036은 learning_rate=0.00025에서 generalizing으로 회복했지만 final_val_loss가 5.575038로 악화되었다. 같은 설정에서 learning_rate만 0.000275로 두면, 0.0003의 validation 성능을 일부 유지하면서 0.00025가 보여준 gap/overfit_score 완화 효과를 얻을 수 있는지 확인한다.",docs/train/runs/run_037_artifacts
38,generalizing,low,False,5.572542,4.0,20.0,80.0,5.560192,5.563548,0.003356,0.012953,0.012953,0.029262,478976.0,30799.587438,mps,"{""seed"": 202}","learning_rate=0.000275 seed=202 강건성 검증: seed=134에서는 learning_rate=0.000275가 0.0003의 과적합 위험과 0.00025의 validation 손실 사이에서 중간 균형을 만들었다. 같은 max_steps=80 + context_length=48 + quick_gelu + sdpa 기준을 seed=202에 적용하면, best run033의 낮은 validation loss를 유지하면서 generalization gap과 overfit_score를 더 낮추거나 안정화할 수 있는지 확인한다.",docs/train/runs/run_038_artifacts
39,generalizing,low,False,5.591138,4.0,20.0,80.0,5.537593,5.561801,0.024208,0.02236,0.02236,0.068929,478976.0,23434.707753,mps,"{""seed"": 151}","learning_rate=0.000275 seed=151 평균 후보 검증: seed=134와 seed=202에서 learning_rate=0.000275는 max_steps=80 조건의 과적합 위험을 줄이면서 generalizing을 유지했다. 같은 설정을 seed=151에 반복하면, 0.000275가 특정 seed 보정이 아니라 세 seed 평균에서 안정적인 learning_rate 후보인지 판단할 수 있다.",docs/train/runs/run_039_artifacts
40,generalizing,medium,False,5.61219,4.0,20.0,80.0,5.510095,5.554826,0.044731,0.047632,0.047632,0.139995,478976.0,28259.000814,mps,"{""drop_rate"": 0.12}","drop_rate=0.12 seed=134 과적합 완화 테스트: run034는 learning_rate=0.0003, max_steps=80에서 validation loss는 5.554664로 강했지만 gap=0.047536, overfit_score=0.148410의 overfit_risk가 되었다. weight_decay=0.02는 거의 효과가 없었고, learning_rate=0.000275는 안정적이지만 validation loss가 약간 밀렸다. 따라서 learning_rate=0.0003의 낮은 validation 후보를 유지한 채 drop_rate만 0.10에서 0.12로 아주 작게 올리면 train 쪽 과도 적합을 줄이면서 low-loss 영역을 보존할 수 있는지 확인한다.",docs/train/runs/run_040_artifacts
41,generalizing,medium,False,5.61453,3.5,20.0,70.0,5.533981,5.569136,0.035155,0.038056,0.038056,0.111267,478976.0,27815.852203,mps,"{""effective_max_steps"": ""70"", ""epochs"": ""3.5""}","max_steps=70 seed=134 학습 길이 경계 테스트: run030의 max_steps=60은 seed=134에서 generalizing을 유지했지만 final_val_loss=5.588833으로 아직 덜 학습된 신호가 있었고, run034의 max_steps=80은 final_val_loss=5.554664까지 좋아졌지만 gap=0.047536, overfit_score=0.148410의 overfit_risk가 되었다. run040의 drop_rate=0.12는 validation을 거의 유지하며 status를 generalizing으로 되돌렸지만 gap과 overfit_score 감소폭은 작았다. 따라서 dropout을 더 건드리기 전에 max_steps만 70으로 줄이면, 80-step의 낮은 validation 이득을 상당 부분 유지하면서 seed=134의 과적합 신호를 줄일 수 있는지 확인한다.",docs/train/runs/run_041_artifacts
42,generalizing,medium,False,5.611549,4.0,20.0,80.0,5.526727,5.56378,0.037054,0.039955,0.039955,0.116964,478976.0,31011.980802,mps,"{""drop_rate"": 0.12}","learning_rate=0.000275 + drop_rate=0.12 seed=134 결합 테스트: run037은 learning_rate=0.000275에서 run034의 overfit_risk를 피하며 final_val_loss=5.563291, gap=0.039052, overfit_score=0.122958을 만들었고, run040은 learning_rate=0.0003에서 drop_rate=0.12를 적용해 validation을 거의 유지했지만 overfit_score 감소폭은 작았다. 따라서 안정 learning rate 계열인 0.000275 위에서 drop_rate만 0.10에서 0.12로 올리면, validation 손실을 크게 늘리지 않으면서 overfit_score를 0.10 이하로 낮출 수 있는지 확인한다.",docs/train/runs/run_042_artifacts
43,generalizing,medium,False,5.594432,4.0,20.0,80.0,5.519647,5.553295,0.033649,0.0318,0.0318,0.09725,478976.0,30639.3927,mps,"{""drop_rate"": 0.1, ""learning_rate"": 0.0003, ""seed"": 151}","learning_rate=0.0003 max_steps=80 seed=151 평균 후보 보완 테스트: run033은 seed=202에서 final_val_loss=5.553315, gap=0.010401, overfit_score=0.050397로 현재 best를 만들었고, run034는 seed=134에서 비슷한 validation loss를 얻었지만 overfit_risk가 되었다. seed=151은 아직 learning_rate=0.0003, max_steps=80 조합으로 직접 확인하지 않았다. 같은 설정을 seed=151에 적용하면 0.0003/80-step 계열이 평균적으로 낮은 validation을 만드는지, 아니면 seed에 따라 과적합 위험이 너무 큰지 판단할 수 있다.",docs/train/runs/run_043_artifacts
44,generalizing,medium,False,5.59417,4.0,20.0,80.0,5.519707,5.553211,0.033504,0.031662,0.031662,0.096829,478976.0,29798.967098,mps,"{""activation_name"": ""gelu_exact""}","gelu_exact activation 단일축 재검증: run043에서 learning_rate=0.0003, max_steps=80, seed=151은 final_val_loss=5.553295로 run033과 거의 같은 최상위 validation을 만들었지만 gap=0.033649, overfit_score=0.097250으로 low-risk까지는 내려가지 않았다. 같은 학습 조건에서 activation_name만 quick_gelu에서 gelu_exact로 바꾸면, GELU 근사 대신 정확한 GELU 곡선이 train 쪽 과도한 sharpness를 조금 줄여 validation과 overfit_score 균형을 개선할 수 있는지 확인한다.",docs/train/runs/run_044_artifacts
