phase,condition_id,purpose,stage,sweep_axis,axis_value,planned_runs,completed_runs,ready_for_screen,ready_for_claim,final_val_bits_per_char_n,final_val_loss_n,best_val_loss_n,final_generalization_gap_n,generalization_gap_delta_n,train_val_improvement_gap_n,overfit_score_n,elapsed_sec_n,seconds_per_epoch_n,tokens_per_sec_n,paired_delta_bits_vs_phase_baseline_n,beats_baseline_count,beats_baseline_ratio
phase2_epoch,E0300,epoch milestone 300 from 1500-epoch long-run,exploratory,epochs,300,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase2_epoch,E0400,epoch milestone 400 from 1500-epoch long-run,exploratory,epochs,400,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase2_epoch,E0600,epoch milestone 600 from 1500-epoch long-run,exploratory,epochs,600,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase2_epoch,E0800,epoch milestone 800 from 1500-epoch long-run,exploratory,epochs,800,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase2_epoch,E1000,epoch milestone 1000 from 1500-epoch long-run,exploratory,epochs,1000,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase2_epoch,E1200,epoch milestone 1200 from 1500-epoch long-run,exploratory,epochs,1200,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase2_epoch,E1500,epoch milestone 1500 from 1500-epoch long-run,exploratory,epochs,1500,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase3_vocab,V04000,tokenizer vocab-size sweep vocab=4000,exploratory,vocab_size,4000,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase3_vocab,V06000,tokenizer vocab-size sweep vocab=6000,exploratory,vocab_size,6000,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase3_vocab,V08000,tokenizer vocab-size sweep vocab=8000,exploratory,vocab_size,8000,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase3_vocab,V10000,tokenizer vocab-size sweep vocab=10000,exploratory,vocab_size,10000,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase3_vocab,V12000,tokenizer vocab-size sweep vocab=12000,exploratory,vocab_size,12000,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase3_vocab,V16000,tokenizer vocab-size sweep vocab=16000,exploratory,vocab_size,16000,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase3_vocab,V20000,tokenizer vocab-size sweep vocab=20000,exploratory,vocab_size,20000,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase3_vocab,V24000,tokenizer vocab-size sweep vocab=24000,exploratory,vocab_size,24000,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase3_vocab,V32000,tokenizer vocab-size sweep vocab=32000,exploratory,vocab_size,32000,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase3_vocab,V40000,tokenizer vocab-size sweep vocab=40000,exploratory,vocab_size,40000,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase3_vocab,V48000,tokenizer vocab-size sweep vocab=48000,exploratory,vocab_size,48000,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase3_vocab,V56000,tokenizer vocab-size sweep vocab=56000,exploratory,vocab_size,56000,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase3_vocab,V64000,tokenizer vocab-size sweep vocab=64000,exploratory,vocab_size,64000,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase4_tokenizer_granularity,MF001,BPE merge min-frequency sweep min_frequency=1,exploratory,tokenizer_min_frequency,1,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase4_tokenizer_granularity,MF002,BPE merge min-frequency sweep min_frequency=2,exploratory,tokenizer_min_frequency,2,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase4_tokenizer_granularity,MF003,BPE merge min-frequency sweep min_frequency=3,exploratory,tokenizer_min_frequency,3,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase4_tokenizer_granularity,MF004,BPE merge min-frequency sweep min_frequency=4,exploratory,tokenizer_min_frequency,4,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase4_tokenizer_granularity,MF005,BPE merge min-frequency sweep min_frequency=5,exploratory,tokenizer_min_frequency,5,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase4_tokenizer_granularity,MF008,BPE merge min-frequency sweep min_frequency=8,exploratory,tokenizer_min_frequency,8,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase4_tokenizer_granularity,MF013,BPE merge min-frequency sweep min_frequency=13,exploratory,tokenizer_min_frequency,13,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase4_tokenizer_granularity,MF021,BPE merge min-frequency sweep min_frequency=21,exploratory,tokenizer_min_frequency,21,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase4_tokenizer_granularity,MF034,BPE merge min-frequency sweep min_frequency=34,exploratory,tokenizer_min_frequency,34,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase4_tokenizer_granularity,MF055,BPE merge min-frequency sweep min_frequency=55,exploratory,tokenizer_min_frequency,55,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase5_capacity,M031,capacity growth sweep 31M baseline,exploratory,capacity,31M baseline,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase5_capacity,M044,capacity growth sweep 44M deeper,exploratory,capacity,44M deeper,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase5_capacity,M057,capacity growth sweep 57M deepest 512-width,exploratory,capacity,57M deepest 512-width,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase5_capacity,M066,capacity growth sweep 66M wider,exploratory,capacity,66M wider,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase5_capacity,M098,capacity growth sweep 98M wide-deep,exploratory,capacity,98M wide-deep,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase5_capacity,M130,capacity growth sweep 130M widest-deep 768-width,exploratory,capacity,130M widest-deep 768-width,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase5_capacity,M110,capacity growth sweep 110M 1024-width,exploratory,capacity,110M 1024-width,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase5_capacity,M160,capacity growth sweep 160M 1024-width deep,exploratory,capacity,160M 1024-width deep,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase5_capacity,M210,capacity growth sweep 210M 1024-width deepest,exploratory,capacity,210M 1024-width deepest,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase5_capacity,M240,capacity growth sweep 240M 1280-width deep,exploratory,capacity,240M 1280-width deep,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase6_context,CTX0256,context-length growth sweep context=256,exploratory,context_length,256,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase6_context,CTX0384,context-length growth sweep context=384,exploratory,context_length,384,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase6_context,CTX0512,context-length growth sweep context=512,exploratory,context_length,512,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase6_context,CTX0640,context-length growth sweep context=640,exploratory,context_length,640,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase6_context,CTX0768,context-length growth sweep context=768,exploratory,context_length,768,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase6_context,CTX1024,context-length growth sweep context=1024,exploratory,context_length,1024,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase6_context,CTX1280,context-length growth sweep context=1280,exploratory,context_length,1280,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase6_context,CTX1536,context-length growth sweep context=1536,exploratory,context_length,1536,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase6_context,CTX2048,context-length growth sweep context=2048,exploratory,context_length,2048,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase7_batch_size,BS001,batch-size sweep batch_size=1,exploratory,batch_size,1,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase7_batch_size,BS002,batch-size sweep batch_size=2,exploratory,batch_size,2,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase7_batch_size,BS004,batch-size sweep batch_size=4,exploratory,batch_size,4,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase7_batch_size,BS008,batch-size sweep batch_size=8,exploratory,batch_size,8,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase7_batch_size,BS016,batch-size sweep batch_size=16,exploratory,batch_size,16,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase8_dropout,DO000,dropout sweep dropout=0,exploratory,drop_rate,0,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase8_dropout,DO020,dropout sweep dropout=0.02,exploratory,drop_rate,0.02,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase8_dropout,DO030,dropout sweep dropout=0.03,exploratory,drop_rate,0.03,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase8_dropout,DO050,dropout sweep dropout=0.05,exploratory,drop_rate,0.05,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase8_dropout,DO080,dropout sweep dropout=0.08,exploratory,drop_rate,0.08,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase8_dropout,DO100,dropout sweep dropout=0.1,exploratory,drop_rate,0.1,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase8_dropout,DO120,dropout sweep dropout=0.12,exploratory,drop_rate,0.12,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase8_dropout,DO150,dropout sweep dropout=0.15,exploratory,drop_rate,0.15,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase8_dropout,DO200,dropout sweep dropout=0.2,exploratory,drop_rate,0.2,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase8_dropout,DO300,dropout sweep dropout=0.3,exploratory,drop_rate,0.3,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase8_dropout,DO400,dropout sweep dropout=0.4,exploratory,drop_rate,0.4,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase9_weight_decay,WD000,weight-decay sweep weight_decay=0,exploratory,weight_decay,0,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase9_weight_decay,WD005,weight-decay sweep weight_decay=0.005,exploratory,weight_decay,0.005,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase9_weight_decay,WD010,weight-decay sweep weight_decay=0.01,exploratory,weight_decay,0.01,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase9_weight_decay,WD020,weight-decay sweep weight_decay=0.02,exploratory,weight_decay,0.02,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase9_weight_decay,WD030,weight-decay sweep weight_decay=0.03,exploratory,weight_decay,0.03,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase9_weight_decay,WD050,weight-decay sweep weight_decay=0.05,exploratory,weight_decay,0.05,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase9_weight_decay,WD075,weight-decay sweep weight_decay=0.075,exploratory,weight_decay,0.075,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase9_weight_decay,WD100,weight-decay sweep weight_decay=0.1,exploratory,weight_decay,0.1,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase9_weight_decay,WD150,weight-decay sweep weight_decay=0.15,exploratory,weight_decay,0.15,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase9_weight_decay,WD200,weight-decay sweep weight_decay=0.2,exploratory,weight_decay,0.2,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase9_weight_decay,WD300,weight-decay sweep weight_decay=0.3,exploratory,weight_decay,0.3,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase9_weight_decay,WD500,weight-decay sweep weight_decay=0.5,exploratory,weight_decay,0.5,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase10_grad_clip,GC000,gradient clipping sweep grad_clip=0,exploratory,grad_clip,0,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase10_grad_clip,GC025,gradient clipping sweep grad_clip=0.25,exploratory,grad_clip,0.25,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase10_grad_clip,GC050,gradient clipping sweep grad_clip=0.5,exploratory,grad_clip,0.5,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase10_grad_clip,GC100,gradient clipping sweep grad_clip=1,exploratory,grad_clip,1,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase10_grad_clip,GC200,gradient clipping sweep grad_clip=2,exploratory,grad_clip,2,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase10_grad_clip,GC500,gradient clipping sweep grad_clip=5,exploratory,grad_clip,5,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase11_ffn_mult,FFN02,FFN multiplier sweep ffn_mult=2,exploratory,ffn_mult,2,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase11_ffn_mult,FFN03,FFN multiplier sweep ffn_mult=3,exploratory,ffn_mult,3,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase11_ffn_mult,FFN04,FFN multiplier sweep ffn_mult=4,exploratory,ffn_mult,4,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase11_ffn_mult,FFN05,FFN multiplier sweep ffn_mult=5,exploratory,ffn_mult,5,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase11_ffn_mult,FFN06,FFN multiplier sweep ffn_mult=6,exploratory,ffn_mult,6,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase11_ffn_mult,FFN08,FFN multiplier sweep ffn_mult=8,exploratory,ffn_mult,8,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase12_activation,ACT_GELU,activation sweep activation=gelu,exploratory,activation_name,gelu,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase12_activation,ACT_GELUEXACT,activation sweep activation=gelu_exact,exploratory,activation_name,gelu_exact,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase12_activation,ACT_QUICKGELU,activation sweep activation=quick_gelu,exploratory,activation_name,quick_gelu,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase12_activation,ACT_RELU,activation sweep activation=relu,exploratory,activation_name,relu,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase12_activation,ACT_SILU,activation sweep activation=silu,exploratory,activation_name,silu,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase12_activation,ACT_SWISH,activation sweep activation=swish,exploratory,activation_name,swish,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase12_activation,ACT_MISH,activation sweep activation=mish,exploratory,activation_name,mish,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase12_activation,ACT_SQUAREDRELU,activation sweep activation=squared_relu,exploratory,activation_name,squared_relu,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase12_activation,ACT_IDENTITY,activation sweep activation=identity,exploratory,activation_name,identity,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase12_activation,ACT_SWIGLU,activation sweep activation=swiglu,exploratory,activation_name,swiglu,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase12_activation,ACT_GEGLU,activation sweep activation=geglu,exploratory,activation_name,geglu,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase13_init_std,INIT005,initialization std sweep init_std=0.005,exploratory,init_std,0.005,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase13_init_std,INIT010,initialization std sweep init_std=0.01,exploratory,init_std,0.01,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase13_init_std,INIT015,initialization std sweep init_std=0.015,exploratory,init_std,0.015,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase13_init_std,INIT020,initialization std sweep init_std=0.02,exploratory,init_std,0.02,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase13_init_std,INIT030,initialization std sweep init_std=0.03,exploratory,init_std,0.03,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase13_init_std,INIT040,initialization std sweep init_std=0.04,exploratory,init_std,0.04,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase14_structure,STRUCT_BASE,structure baseline pre-LN tied embeddings SDPA no QKV bias,exploratory,structure,baseline,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase14_structure,STRUCT_QKVB,structure sweep QKV bias enabled,exploratory,structure,qkv_bias=True,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase14_structure,STRUCT_UNTIED,structure sweep untied input/output embeddings,exploratory,structure,tie_embeddings=False,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase14_structure,STRUCT_POSTLN,structure sweep post-LN transformer blocks,exploratory,structure,norm_first=False,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase14_structure,STRUCT_MANUALATT,structure sweep manual attention implementation,exploratory,structure,attention_impl=manual,3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
phase14_structure,STRUCT_QKVB_UNTIED,structure sweep QKV bias plus untied embeddings,exploratory,structure,"qkv_bias=True,tie_embeddings=False",3,0,False,False,0,0,0,0,0,0,0,0,0,0,0,,
