experiment_id,source_md,report_section,comparison_group,baseline_id,changed_variable,changed_value,seed,vocab_size,context_length,emb_dim,n_heads,n_layers,ffn_mult,activation,drop_rate,norm_first,qkv_bias,weight_tying,stride,num_epochs,batch_size,lr,weight_decay,rerun_required,rerun_reason
E08,docs/HY/testresult/E08_emb_dim_256_result.md,emb_dim,emb_dim,E00,emb_dim,256,123,3000,128,256,4,4,4,,0.1,,False,False,128,5,32,0.0004,0.1,False,
E09,docs/HY/testresult/E09_n_heads_3_result.md,n_heads 5ep,n_heads_5ep,E00,n_heads,3,123,3000,128,192,3,4,4,,0.1,,False,False,128,5,32,0.0004,0.1,False,
E00,docs/HY/testresult/E00_baseline_result.md,n_heads 5ep,n_heads_5ep,E00,n_heads,4,123,3000,128,192,4,4,4,,0.1,,False,False,128,5,32,0.0004,0.1,False,
E10,docs/HY/testresult/E10_n_heads_6_result.md,n_heads 5ep,n_heads_5ep,E00,n_heads,6,123,3000,128,192,6,4,4,,0.1,,False,False,128,5,32,0.0004,0.1,False,
E11,docs/HY/testresult/E11_n_layers_2_result.md,n_layers 5ep,n_layers_5ep,E00,n_layers,2,123,3000,128,192,4,2,4,,0.1,,False,False,128,5,32,0.0004,0.1,False,
E00,docs/HY/testresult/E00_baseline_result.md,n_layers 5ep,n_layers_5ep,E00,n_layers,4,123,3000,128,192,4,4,4,,0.1,,False,False,128,5,32,0.0004,0.1,False,
E12,docs/HY/testresult/E12_n_layers_6_result.md,n_layers 5ep,n_layers_5ep,E00,n_layers,6,123,3000,128,192,4,6,4,,0.1,,False,False,128,5,32,0.0004,0.1,False,
E13,docs/HY/testresult/E13_n_layers_8_result.md,n_layers 5ep,n_layers_5ep,E00,n_layers,8,123,3000,128,192,4,8,4,,0.1,,False,False,128,5,32,0.0004,0.1,False,
E14,docs/HY/testresult/E14_ffn_multiplier_2_result.md,ffn_multiplier 5ep,ffn_multiplier_5ep,E00,ffn_mult,2,123,3000,128,192,4,4,2,,0.1,,False,False,128,5,32,0.0004,0.1,False,
E00,docs/HY/testresult/E00_baseline_result.md,ffn_multiplier 5ep,ffn_multiplier_5ep,E00,ffn_mult,4,123,3000,128,192,4,4,4,,0.1,,False,False,128,5,32,0.0004,0.1,False,
E15,docs/HY/testresult/E15_ffn_multiplier_6_result.md,ffn_multiplier 5ep,ffn_multiplier_5ep,E00,ffn_mult,6,123,3000,128,192,4,4,6,,0.1,,False,False,128,5,32,0.0004,0.1,False,
E16,docs/HY/testresult/E16_drop_rate_0p0_result.md,drop_rate 5ep,dropout_5ep,E00,drop_rate,0.0,123,3000,128,192,4,4,4,,0.0,,False,False,128,5,32,0.0004,0.1,False,
E17,docs/HY/testresult/E17_drop_rate_0p05_result.md,drop_rate 5ep,dropout_5ep,E00,drop_rate,0.05,123,3000,128,192,4,4,4,,0.05,,False,False,128,5,32,0.0004,0.1,False,
E00,docs/HY/testresult/E00_baseline_result.md,drop_rate 5ep,dropout_5ep,E00,drop_rate,0.1,123,3000,128,192,4,4,4,,0.1,,False,False,128,5,32,0.0004,0.1,False,
E18,docs/HY/testresult/E18_drop_rate_0p2_result.md,drop_rate 5ep,dropout_5ep,E00,drop_rate,0.2,123,3000,128,192,4,4,4,,0.2,,False,False,128,5,32,0.0004,0.1,False,
E00,docs/HY/testresult/E00_baseline_result.md,qkv_bias 5ep,qkv_bias_5ep,E00,qkv_bias,False,123,3000,128,192,4,4,4,,0.1,,False,False,128,5,32,0.0004,0.1,False,
E19,docs/HY/testresult/E19_qkv_bias_True_result.md,qkv_bias 5ep,qkv_bias_5ep,E00,qkv_bias,True,123,3000,128,192,4,4,4,,0.1,,True,False,128,5,32,0.0004,0.1,False,
E00,docs/HY/testresult/E00_baseline_result.md,weight_tying 5ep,weight_tying_5ep,E00,tie_embeddings,,123,3000,128,192,4,4,4,,0.1,,False,False,128,5,32,0.0004,0.1,False,
E20,docs/HY/testresult/E20_weight_tying_True_result.md,weight_tying 5ep,weight_tying_5ep,E00,tie_embeddings,,123,3000,128,192,4,4,4,,0.1,,False,True,128,5,32,0.0004,0.1,False,
E28,docs/HY/testresult/E28_postLN_baseline_10ep_result.md,10 epoch baseline,baseline_10ep,E28,baseline,baseline,123,3000,128,192,4,4,4,gelu,0.1,False,False,False,128,10,32,0.0004,0.1,False,
E25,docs/HY/testresult/E25_activation_ReLU_result.md,activation 10ep,activation_10ep,E28,activation,relu,123,3000,128,192,4,4,4,relu,0.1,False,False,False,128,10,32,0.0004,0.1,False,
E28,docs/HY/testresult/E28_postLN_baseline_10ep_result.md,activation 10ep,activation_10ep,E28,activation,gelu,123,3000,128,192,4,4,4,gelu,0.1,False,False,False,128,10,32,0.0004,0.1,False,
E26,docs/HY/testresult/E26_activation_SiLU_result.md,activation 10ep,activation_10ep,E28,activation,silu,123,3000,128,192,4,4,4,silu,0.1,False,False,False,128,10,32,0.0004,0.1,False,
E28,docs/HY/testresult/E28_postLN_baseline_10ep_result.md,norm_first 10ep,norm_first_10ep,E28,norm_first,False,123,3000,128,192,4,4,4,gelu,0.1,False,False,False,128,10,32,0.0004,0.1,False,
E27,docs/HY/testresult/E27_preLN_result.md,norm_first 10ep,norm_first_10ep,E28,norm_first,True,123,3000,128,192,4,4,4,gelu,0.1,True,False,False,128,10,32,0.0004,0.1,False,
E28,docs/HY/testresult/E28_postLN_baseline_10ep_result.md,stride 10ep,stride_10ep,E28,stride,128,123,3000,128,192,4,4,4,gelu,0.1,False,False,False,128,10,32,0.0004,0.1,False,
E29,docs/HY/testresult/E29_stride_64_result.md,stride 10ep,stride_10ep,E28,stride,64,123,3000,128,192,4,4,4,gelu,0.1,False,False,False,64,10,32,0.0004,0.1,False,
E31,docs/HY/testresult/E31_n_heads_1_10ep_result.md,n_heads 10ep,n_heads_10ep,E28,n_heads,1,123,3000,128,192,1,4,4,gelu,0.1,False,False,False,128,10,32,0.0004,0.1,False,
E32,docs/HY/testresult/E32_n_heads_2_10ep_result.md,n_heads 10ep,n_heads_10ep,E28,n_heads,2,123,3000,128,192,2,4,4,gelu,0.1,False,False,False,128,10,32,0.0004,0.1,False,
E28,docs/HY/testresult/E28_postLN_baseline_10ep_result.md,n_heads 10ep,n_heads_10ep,E28,n_heads,4,123,3000,128,192,4,4,4,gelu,0.1,False,False,False,128,10,32,0.0004,0.1,False,
E33,docs/HY/testresult/E33_n_heads_8_10ep_result.md,n_heads 10ep,n_heads_10ep,E28,n_heads,8,123,3000,128,192,8,4,4,gelu,0.1,False,False,False,128,10,32,0.0004,0.1,False,
E34,docs/HY/testresult/E34_n_heads_12_10ep_result.md,n_heads 10ep,n_heads_10ep,E28,n_heads,12,123,3000,128,192,12,4,4,gelu,0.1,False,False,False,128,10,32,0.0004,0.1,False,
E35,docs/HY/testresult/E35_ffn_multiplier_2_10ep_result.md,ffn_multiplier 10ep,ffn_multiplier_10ep,E28,ffn_mult,2,123,3000,128,192,4,4,2,gelu,0.1,False,False,False,128,10,32,0.0004,0.1,False,
E28,docs/HY/testresult/E28_postLN_baseline_10ep_result.md,ffn_multiplier 10ep,ffn_multiplier_10ep,E28,ffn_mult,4,123,3000,128,192,4,4,4,gelu,0.1,False,False,False,128,10,32,0.0004,0.1,False,
E36,docs/HY/testresult/E36_ffn_multiplier_6_10ep_result.md,ffn_multiplier 10ep,ffn_multiplier_10ep,E28,ffn_mult,6,123,3000,128,192,4,4,6,gelu,0.1,False,False,False,128,10,32,0.0004,0.1,False,
E28,docs/HY/testresult/E28_postLN_baseline_10ep_result.md,depth/norm 10ep,depth_norm_10ep,E28,n_layers_norm_first,"layers=4,norm_first=False",123,3000,128,192,4,4,4,gelu,0.1,False,False,False,128,10,32,0.0004,0.1,False,
E37,docs/HY/testresult/E37_postLN_layers8_10ep_result.md,depth/norm 10ep,depth_norm_10ep,E28,n_layers_norm_first,"layers=8,norm_first=False",123,3000,128,192,4,8,4,gelu,0.1,False,False,False,128,10,32,0.0004,0.1,False,
E38,docs/HY/testresult/E38_preLN_layers8_10ep_result.md,depth/norm 10ep,depth_norm_10ep,E28,n_layers_norm_first,"layers=8,norm_first=True",123,3000,128,192,4,8,4,gelu,0.1,True,False,False,128,10,32,0.0004,0.1,False,
E28,docs/HY/testresult/E28_postLN_baseline_10ep_result.md,qkv_bias 10ep,qkv_bias_10ep,E28,qkv_bias,False,123,3000,128,192,4,4,4,gelu,0.1,False,False,False,128,10,32,0.0004,0.1,False,
E39,docs/HY/testresult/E39_qkv_bias_true_10ep_result.md,qkv_bias 10ep,qkv_bias_10ep,E28,qkv_bias,True,123,3000,128,192,4,4,4,gelu,0.1,False,True,False,128,10,32,0.0004,0.1,False,
E37,docs/HY/testresult/E37_postLN_layers8_10ep_result.md,qkv_bias 10ep,qkv_bias_10ep,E28,qkv_bias,False,123,3000,128,192,4,8,4,gelu,0.1,False,False,False,128,10,32,0.0004,0.1,False,
E40,docs/HY/testresult/E40_qkv_bias_true_layers8_10ep_result.md,qkv_bias 10ep,qkv_bias_10ep,E28,qkv_bias,True,123,3000,128,192,4,8,4,gelu,0.1,False,True,False,128,10,32,0.0004,0.1,False,
E28,docs/HY/testresult/E28_postLN_baseline_10ep_result.md,weight_tying 10/20/50ep,weight_tying_long,E28,tie_embeddings_epochs,"weight_tying=False,epochs=10",123,3000,128,192,4,4,4,gelu,0.1,False,False,False,128,10,32,0.0004,0.1,False,
E41,docs/HY/testresult/E41_weight_tying_true_10ep_result.md,weight_tying 10/20/50ep,weight_tying_long,E28,tie_embeddings_epochs,"weight_tying=True,epochs=10",123,3000,128,192,4,4,4,gelu,0.1,False,False,True,128,10,32,0.0004,0.1,False,
E42,docs/HY/testresult/E42_weight_tying_true_20ep_result.md,weight_tying 10/20/50ep,weight_tying_long,E28,tie_embeddings_epochs,"weight_tying=True,epochs=20",123,3000,128,192,4,4,4,gelu,0.1,False,False,True,128,20,32,0.0004,0.1,False,
E43,docs/HY/testresult/E43_weight_tying_false_50ep_result.md,weight_tying 10/20/50ep,weight_tying_long,E28,tie_embeddings_epochs,"weight_tying=False,epochs=50",123,3000,128,192,4,4,4,gelu,0.1,False,False,False,128,50,32,0.0004,0.1,False,
E44,docs/HY/testresult/E44_weight_tying_true_50ep_result.md,weight_tying 10/20/50ep,weight_tying_long,E28,tie_embeddings_epochs,"weight_tying=True,epochs=50",123,3000,128,192,4,4,4,gelu,0.1,False,False,True,128,50,32,0.0004,0.1,False,
E21,docs/HY/testresult/E21_long_epoch_dropout_0p0_result.md,long dropout 20ep,dropout_long,E23,drop_rate,0.0,123,3000,128,192,4,4,4,,0.0,,False,False,128,20,32,0.0004,0.1,False,
E22,docs/HY/testresult/E22_long_epoch_dropout_0p05_result.md,long dropout 20ep,dropout_long,E23,drop_rate,0.05,123,3000,128,192,4,4,4,,0.05,,False,False,128,20,32,0.0004,0.1,False,
E23,docs/HY/testresult/E23_long_epoch_dropout_0p1_result.md,long dropout 20ep,dropout_long,E23,drop_rate,0.1,123,3000,128,192,4,4,4,,0.1,,False,False,128,20,32,0.0004,0.1,False,
E24,docs/HY/testresult/E24_long_epoch_dropout_0p2_result.md,long dropout 20ep,dropout_long,E23,drop_rate,0.2,123,3000,128,192,4,4,4,,0.2,,False,False,128,20,32,0.0004,0.1,False,
E23,docs/HY/testresult/E23_long_epoch_dropout_0p1_result.md,depth/norm 20ep,depth_norm_20ep,E23,n_layers_norm_first,"layers=4,norm_first=",123,3000,128,192,4,4,4,,0.1,,False,False,128,20,32,0.0004,0.1,False,
E45,docs/HY/testresult/E45_postLN_layers8_20ep_result.md,depth/norm 20ep,depth_norm_20ep,E23,n_layers_norm_first,"layers=8,norm_first=False",123,3000,128,192,4,8,4,gelu,0.1,False,False,False,128,20,32,0.0004,0.1,False,
E46,docs/HY/testresult/E46_preLN_layers8_20ep_result.md,depth/norm 20ep,depth_norm_20ep,E23,n_layers_norm_first,"layers=8,norm_first=True",123,3000,128,192,4,8,4,gelu,0.1,True,False,False,128,20,32,0.0004,0.1,False,
E47,docs/HY/testresult/E47_postLN_layers12_20ep_result.md,depth/norm 20ep,depth_norm_20ep,E23,n_layers_norm_first,"layers=12,norm_first=False",123,3000,128,192,4,12,4,gelu,0.1,False,False,False,128,20,32,0.0004,0.1,False,
E48,docs/HY/testresult/E48_preLN_layers12_20ep_result.md,depth/norm 20ep,depth_norm_20ep,E23,n_layers_norm_first,"layers=12,norm_first=True",123,3000,128,192,4,12,4,gelu,0.1,True,False,False,128,20,32,0.0004,0.1,False,
E49,docs/HY/testresult/E49_activation_GELU_depth8_preLN_seed42_20ep_result.md,activation seed repeat,activation_seed,E52,activation_seed,"activation=gelu,seed=42",42,3000,128,192,4,8,4,gelu,0.1,True,False,False,128,20,32,0.0004,0.1,False,
E50,docs/HY/testresult/E50_activation_ReLU_depth8_preLN_seed42_20ep_result.md,activation seed repeat,activation_seed,E52,activation_seed,"activation=relu,seed=42",42,3000,128,192,4,8,4,relu,0.1,True,False,False,128,20,32,0.0004,0.1,False,
E51,docs/HY/testresult/E51_activation_SiLU_depth8_preLN_seed42_20ep_result.md,activation seed repeat,activation_seed,E52,activation_seed,"activation=silu,seed=42",42,3000,128,192,4,8,4,silu,0.1,True,False,False,128,20,32,0.0004,0.1,False,
E52,docs/HY/testresult/E52_activation_GELU_depth8_preLN_seed123_20ep_result.md,activation seed repeat,activation_seed,E52,activation_seed,"activation=gelu,seed=123",123,3000,128,192,4,8,4,gelu,0.1,True,False,False,128,20,32,0.0004,0.1,False,
E53,docs/HY/testresult/E53_activation_ReLU_depth8_preLN_seed123_20ep_result.md,activation seed repeat,activation_seed,E52,activation_seed,"activation=relu,seed=123",123,3000,128,192,4,8,4,relu,0.1,True,False,False,128,20,32,0.0004,0.1,False,
E54,docs/HY/testresult/E54_activation_SiLU_depth8_preLN_seed123_20ep_result.md,activation seed repeat,activation_seed,E52,activation_seed,"activation=silu,seed=123",123,3000,128,192,4,8,4,silu,0.1,True,False,False,128,20,32,0.0004,0.1,False,
E55,docs/HY/testresult/E55_activation_GELU_depth8_preLN_seed2026_20ep_result.md,activation seed repeat,activation_seed,E52,activation_seed,"activation=gelu,seed=2026",2026,3000,128,192,4,8,4,gelu,0.1,True,False,False,128,20,32,0.0004,0.1,False,
E56,docs/HY/testresult/E56_activation_ReLU_depth8_preLN_seed2026_20ep_result.md,activation seed repeat,activation_seed,E52,activation_seed,"activation=relu,seed=2026",2026,3000,128,192,4,8,4,relu,0.1,True,False,False,128,20,32,0.0004,0.1,False,
E57,docs/HY/testresult/E57_activation_SiLU_depth8_preLN_seed2026_20ep_result.md,activation seed repeat,activation_seed,E52,activation_seed,"activation=silu,seed=2026",2026,3000,128,192,4,8,4,silu,0.1,True,False,False,128,20,32,0.0004,0.1,False,
E60,docs/HY/testresult/E60_postLN_layers8_drop0p2_lr0p0002_result.md,regularized depth/norm,regularized_depth_norm,E60,n_layers_norm_first,"layers=8,norm_first=False",123,3000,128,192,4,8,4,gelu,0.2,False,False,False,128,20,32,0.0002,0.1,False,
E61,docs/HY/testresult/E61_preLN_layers8_drop0p2_lr0p0002_result.md,regularized depth/norm,regularized_depth_norm,E60,n_layers_norm_first,"layers=8,norm_first=True",123,3000,128,192,4,8,4,gelu,0.2,True,False,False,128,20,32,0.0002,0.1,False,
E62,docs/HY/testresult/E62_postLN_layers12_drop0p2_lr0p0002_result.md,regularized depth/norm,regularized_depth_norm,E60,n_layers_norm_first,"layers=12,norm_first=False",123,3000,128,192,4,12,4,gelu,0.2,False,False,False,128,20,32,0.0002,0.1,False,
E63,docs/HY/testresult/E63_preLN_layers12_drop0p2_lr0p0002_result.md,regularized depth/norm,regularized_depth_norm,E60,n_layers_norm_first,"layers=12,norm_first=True",123,3000,128,192,4,12,4,gelu,0.2,True,False,False,128,20,32,0.0002,0.1,False,
